record_no,snapshot_index,source_vector_index,target_id,callsign,timestamp,timestamp_source,time_source,message_seq,lat,lon,altitude,alt_type,speed,heading,vertical_rate,on_ground,status_flags,validity_flags,latitude_code,longitude_code,altitude_code,speed_code,heading_code,vertical_rate_code,lat_valid,lon_valid,altitude_valid,speed_valid,heading_valid,vertical_rate_valid,callsign_valid,checksum,expected_checksum,message_valid,validation_errors,source
25,2,2,896175,UAE4M,1786673159,position_time,position_time,25,45.539606938268406,5.061565652266893,10973.0,barometric,255.70000000000002,110.0,0.0,False,0,127,3158301,2156123,11973,2557,11000,32768,True,True,True,True,True,True,True,2806,2806,True,,TeachingLink
26,2,3,3849ff,M02,1786673159,position_time,position_time,26,47.58709850003683,7.5311726406032165,,unknown,18.5,334.69,,True,1,91,3206011,2184896,0,185,33469,0,True,True,False,True,True,False,True,2451,2451,True,,TeachingLink
27,2,4,407fac,TOM8VC,1786673158,position_time,position_time,27,48.92069314019517,9.028575188773914,11582.0,barometric,228.4,300.90000000000003,0.0,False,0,127,3237086,2202342,12582,2284,30090,32768,True,True,True,True,True,True,True,3020,3020,True,,TeachingLink
28,2,5,3c815e,F172,1786673142,position_time,position_time,28,48.6853882516356,9.200494098781121,,unknown,1.3,70.31,,True,1,91,3231603,2204345,0,13,7031,0,True,True,False,True,True,False,True,2200,2200,True,,TeachingLink
29,2,6,7c8066,QFA219,1786673159,position_time,position_time,29,49.39289078542964,11.617229370410314,12184.0,barometric,244.20000000000002,293.59000000000003,0.0,False,0,127,3248089,2232502,13184,2442,29359,32768,True,True,True,True,True,True,True,2819,2819,True,,TeachingLink
30,2,7,45ce47,SRR6382,1786673160,position_time,position_time,30,48.54720081024189,6.299072813766685,11887.0,barometric,233.60000000000002,181.51,0.0,False,0,127,3228383,2170541,12887,2336,18151,32768,True,True,True,True,True,True,True,2696,2696,True,,TeachingLink
31,2,8,3c5434,BCS6GA,1786673159,position_time,position_time,31,45.747617661384965,8.776662058034418,3399.0,barometric,176.5,148.95000000000002,-6.5,False,0,127,3163148,2199407,4399,1765,14895,32118,True,True,True,True,True,True,True,2375,2375,True,,TeachingLink
32,2,9,4b5d62,VIKTOR21,1786673156,position_time,position_time,32,47.45770870630949,8.562514439228636,,unknown,2.8000000000000003,272.81,,True,1,91,3202996,2196912,0,28,27281,0,True,True,False,True,True,False,True,2590,2590,True,,TeachingLink
33,2,10,4b5d54,GALA6,1786673159,position_time,position_time,33,47.45809494449972,8.549897325014427,,unknown,4.1000000000000005,275.62,,True,1,91,3203005,2196765,0,41,27562,0,True,True,False,True,True,False,True,2234,2234,True,,TeachingLink
34,2,11,4b5d6e,VIKTOR31,1786673158,position_time,position_time,34,47.44101463342062,8.562428608519696,,unknown,2.8000000000000003,154.69,,True,1,91,3202607,2196911,0,28,15469,0,True,True,False,True,True,False,True,2390,2390,True,,TeachingLink
35,2,12,4b5c39,GALA21,1786673156,position_time,position_time,35,47.45800911379078,8.550240647850188,,unknown,4.4,275.62,,True,1,91,3203003,2196769,0,44,27562,0,True,True,False,True,True,False,True,2255,2255,True,,TeachingLink
36,2,13,4b5c1b,URSULA8,1786673154,position_time,position_time,36,47.45680748386562,8.562771931355456,,unknown,0.1,208.12,,True,1,91,3202975,2196915,0,1,20812,0,True,True,False,True,True,False,True,2335,2335,True,,TeachingLink
37,2,14,440b61,TAY5DN,1786673159,position_time,position_time,37,49.46009623052984,5.006633998545169,10874.0,barometric,232.5,35.910000000000004,5.529999999999973,False,0,127,3249655,2155483,11874,2325,3591,33321,True,True,True,True,True,True,True,2619,2619,True,,TeachingLink
38,2,15,48ea3a,ENT1511,1786673159,position_time,position_time,38,47.900208926250684,8.077570933716487,10973.0,barometric,229.5,225.45000000000002,0.0,False,0,127,3213307,2191262,11973,2295,22545,32768,True,True,True,True,True,True,True,2853,2853,True,,TeachingLink
39,2,16,424cbf,MACOR,1786673159,position_time,position_time,39,46.891698096203356,11.240432558162809,9845.0,barometric,244.60000000000002,222.78,-8.779999999999973,False,0,127,3189807,2228112,10845,2446,22278,31890,True,True,True,True,True,True,True,2770,2770,True,,TeachingLink
40,2,17,a61c53,THY6091,1786673158,position_time,position_time,40,49.384994360207145,10.819604592229012,10363.0,barometric,243.10000000000002,288.51,0.0,False,0,127,3247905,2223209,11363,2431,28851,32768,True,True,True,True,True,True,True,2746,2746,True,,TeachingLink
41,2,18,8966d5,ETD2,1786673159,position_time,position_time,41,47.88917968015187,7.604386235329201,11278.0,barometric,259.8,103.98,0.0,False,0,127,3213050,2185749,12278,2598,10398,32768,True,True,True,True,True,True,True,2560,2560,True,,TeachingLink
42,2,19,4d253b,EWG40C,1786673159,position_time,position_time,42,46.54309667184273,5.788465926281418,11278.0,barometric,225.3,198.23000000000002,0.0,False,0,127,3181684,2164592,12278,2253,19823,32768,True,True,True,True,True,True,True,2567,2567,True,,TeachingLink
43,2,20,45b534,GAV596,1786673158,position_time,position_time,43,48.723497086405075,9.461076131123548,11582.0,barometric,222.9,302.37,-0.3299999999999841,False,0,127,3232491,2207381,12582,2229,30237,32735,True,True,True,True,True,True,True,2905,2905,True,,TeachingLink
44,2,21,4d240c,EWG53L,1786673159,position_time,position_time,44,49.24071293847868,10.621764808121867,5243.0,barometric,192.0,248.8,9.430000000000007,False,0,127,3244543,2220904,6243,1920,24880,33711,True,True,True,True,True,True,True,2762,2762,True,,TeachingLink
45,2,22,ad35c8,N950MP,1786673159,position_time,position_time,45,45.94481371517509,11.293733428414669,13716.0,barometric,255.70000000000002,118.21000000000001,0.0,False,0,127,3167743,2228733,14716,2557,11821,32768,True,True,True,True,True,True,True,2882,2882,True,,TeachingLink
46,2,23,3889ff,LA2,1786673159,position_time,position_time,46,45.717190675065666,5.091778061813841,,unknown,7.2,168.75,,True,1,91,3162439,2156475,0,72,16875,0,True,True,False,True,True,False,True,2336,2336,True,,TeachingLink
47,2,24,4b17fd,SWR7DC,1786673098,position_time,position_time,47,47.44431911571482,8.567406789638227,,unknown,0.1,244.69,,True,1,91,3202684,2196969,0,1,24469,0,True,True,False,True,True,False,True,2717,2717,True,,TeachingLink
48,3,1,a48850,UPS266,1786673173,position_time,position_time,48,48.353695476936224,9.502875686377479,11895.0,barometric,241.8,152.78,0.0,False,0,127,3223874,2207868,12895,2418,15278,32768,True,True,True,True,True,True,True,2654,2654,True,,TeachingLink
49,3,2,896175,UAE4M,1786673173,position_time,position_time,49,45.528706438233,5.103966022483348,10973.0,barometric,255.70000000000002,110.0,0.0,False,0,127,3158047,2156617,11973,2557,11000,32768,True,True,True,True,True,True,True,2829,2829,True,,TeachingLink
50,3,3,3849ff,M02,1786673173,position_time,position_time,50,47.589587590596096,7.529541857133353,,unknown,22.1,334.69,,True,1,91,3206069,2184877,0,221,33469,0,True,True,False,True,True,False,True,2564,2564,True,,TeachingLink
51,3,4,407fac,TOM8VC,1786673172,position_time,position_time,51,48.9357135142597,8.990638015422348,11582.0,barometric,228.4,300.90000000000003,0.0,False,0,127,3237436,2201900,12582,2284,30090,32768,True,True,True,True,True,True,True,2711,2711,True,,TeachingLink
52,3,5,3c815e,F172,1786673173,position_time,position_time,52,48.68620364337053,9.202382374377805,,unknown,5.7,73.12,,True,1,91,3231622,2204367,0,57,7312,0,True,True,False,True,True,False,True,2111,2111,True,,TeachingLink
53,3,6,7c8066,QFA219,1786673173,position_time,position_time,53,49.40499291539024,11.574657338775921,12184.0,barometric,244.0,293.48,0.0,False,0,127,3248371,2232006,13184,2440,29348,32768,True,True,True,True,True,True,True,2885,2885,True,,TeachingLink
54,3,7,45ce47,SRR6382,1786673173,position_time,position_time,54,48.518490438101395,6.298042845259403,11887.0,barometric,233.70000000000002,181.64000000000001,0.0,False,0,127,3227714,2170529,12887,2337,18164,32768,True,True,True,True,True,True,True,2576,2576,True,,TeachingLink
55,3,8,3c5434,BCS6GA,1786673173,position_time,position_time,55,45.72869199006365,8.79176826280792,3315.0,barometric,167.3,152.33,-5.850000000000023,False,0,127,3162707,2199583,4315,1673,15233,32183,True,True,True,True,True,True,True,2630,2630,True,,TeachingLink
