record_no,snapshot_index,source_vector_index,field,source_value,source_valid,protocol_code,flag_bit,decoded_value,decoded_valid,absolute_error/tolerance,passed
11,1,11,vertical_rate,,False,0,5,,False,0/0,True
11,1,11,callsign,VIKTOR31,True,VIKTOR31,6,VIKTOR31,True,0/0,True
12,1,12,lat,47.458,True,3203003,0,47.45800911379078,True,9.11379078161e-06/4.29153544701e-05,True
12,1,12,lon,8.5506,True,2196773,1,8.550583970685949,True,1.60293140503e-05/8.58307089402e-05,True
12,1,12,altitude,,False,0,2,,False,0/0,True
12,1,12,speed,4.63,True,46,3,4.6000000000000005,True,0.03/0.1,True
12,1,12,heading,278.44,True,27844,4,278.44,True,0/0.01,True
12,1,12,vertical_rate,,False,0,5,,False,0/0,True
12,1,12,callsign,GALA21,True,GALA21,6,GALA21,True,0/0,True
13,1,13,lat,47.4568,True,3202975,0,47.45680748386562,True,7.48386561611e-06/4.29153544701e-05,True
13,1,13,lon,8.5628,True,2196915,1,8.562771931355456,True,2.80686445429e-05/8.58307089402e-05,True
13,1,13,altitude,,False,0,2,,False,0/0,True
13,1,13,speed,0.26,True,3,3,0.30000000000000004,True,0.04/0.1,True
13,1,13,heading,300.94,True,30094,4,300.94,True,0/0.01,True
13,1,13,vertical_rate,,False,0,5,,False,0/0,True
13,1,13,callsign,URSULA8,True,URSULA8,6,URSULA8,True,0/0,True
14,1,14,lat,47.9068,True,3213461,0,47.90681789083908,True,1.78908390822e-05/4.29153544701e-05,True
14,1,14,lon,8.0877,True,2191380,1,8.087698957371487,True,1.0426285133e-06/8.58307089402e-05,True
14,1,14,altitude,10972.8,True,11973,2,10973.0,True,0.200000000001/1,True
14,1,14,speed,229.54,True,2295,3,229.5,True,0.04/0.1,True
14,1,14,heading,225.45,True,22545,4,225.45000000000002,True,2.84217094304e-14/0.01,True
14,1,14,vertical_rate,0.0,True,32768,5,0.0,True,0/0.01,True
14,1,14,callsign,ENT1511,True,ENT1511,6,ENT1511,True,0/0,True
15,1,15,lat,46.8991,True,3189979,0,46.89907953717221,True,2.04628277842e-05/4.29153544701e-05,True
15,1,15,lon,11.2504,True,2228228,1,11.250388920399871,True,1.10796001298e-05/8.58307089402e-05,True
15,1,15,altitude,9883.14,True,10883,2,9883.0,True,0.139999999999/1,True
15,1,15,speed,244.26,True,2443,3,244.3,True,0.04/0.1,True
15,1,15,heading,222.87,True,22287,4,222.87,True,0/0.01,True
15,1,15,vertical_rate,-8.13,True,31955,5,-8.129999999999995,True,5.3290705182e-15/0.01,True
15,1,15,callsign,MACOR,True,MACOR,6,MACOR,True,0/0,True
16,1,16,lat,49.3817,True,3247828,0,49.38168987791295,True,1.01220870548e-05/4.29153544701e-05,True
16,1,16,lon,10.8344,True,2223381,1,10.834367474166726,True,3.25258332747e-05/8.58307089402e-05,True
16,1,16,altitude,10363.2,True,11363,2,10363.0,True,0.200000000001/1,True
16,1,16,speed,243.21,True,2432,3,243.20000000000002,True,0.00999999999999/0.1,True
16,1,16,heading,288.63,True,28863,4,288.63,True,0/0.01,True
16,1,16,vertical_rate,0.0,True,32768,5,0.0,True,0/0.01,True
16,1,16,callsign,THY6091,True,THY6091,6,THY6091,True,0/0,True
17,1,17,lat,47.8922,True,3213120,0,47.892183754964776,True,1.62450352263e-05/4.29153544701e-05,True
17,1,17,lon,7.5863,True,2185538,1,7.5862759557428205,True,2.40442571791e-05/8.58307089402e-05,True
17,1,17,altitude,11277.6,True,12278,2,11278.0,True,0.4/1,True
17,1,17,speed,259.27,True,2593,3,259.3,True,0.03/0.1,True
17,1,17,heading,104.01,True,10401,4,104.01,True,0/0.01,True
17,1,17,vertical_rate,0.0,True,32768,5,0.0,True,0/0.01,True
17,1,17,callsign,ETD2,True,ETD2,6,ETD2,True,0/0,True
